feature,static_d,mobile_d,delta,universal_provisional
Throughput,1.5212,1.8972,0.3760,no
AvgRxPacketSize,1.5109,1.8391,0.3282,no
AvgTxPacketSize,1.5109,1.8394,0.3285,no
AvgFlowThroughput,1.4995,0.6417,-0.8578,no
AvgTxBytesPerFlow,1.4956,1.9045,0.4089,no
AvgRxBytesPerFlow,1.4955,1.8990,0.4035,no
AverageMprCount,1.3927,1.6073,0.2146,yes
NormalizedRoutingLoad,1.3375,1.8473,0.5098,no
TcMessageRate,1.3300,1.8440,0.5140,no
AverageAdvertisedLinksPerTCMessage,1.3217,1.5708,0.2491,yes
RoutingOverheadRatio,1.3205,1.7509,0.4304,no
FlowThroughputStd,1.3006,0.0364,-1.2642,yes
DataPacketRate,1.2245,1.3657,0.1412,yes
AverageEndToEndDelay,1.1066,0.2069,-0.8997,no
AvgTxPacketsPerFlow,0.9707,1.4822,0.5115,no
AvgRxPacketsPerFlow,0.9703,1.4550,0.4847,no
FlowCount,0.9122,0.1449,-0.7673,no
AverageJitter,0.9038,0.1860,-0.7178,no
AvgFlowDelay,0.7861,0.0291,-0.7570,no
FlowDurationStd,0.7843,0.3680,-0.4163,no
AvgFlowDuration,0.6409,0.3496,-0.2913,no
AverageHopCount,0.5738,0.1479,-0.4259,no
AvgFlowJitter,0.5557,0.0308,-0.5249,no
FlowDelayStd,0.3637,0.0046,-0.3591,no
RoutingOverheadBytesRatio,0.3423,0.4376,0.0953,no
FlowJitterStd,0.1951,0.0003,-0.1948,no
AvgFlowLossRate,0.0660,0.2047,0.1387,no
FlowLossRateStd,0.0655,0.1824,0.1169,no
PacketDeliveryRatio,0.0590,0.2327,0.1737,no
RxTxPacketRatio,0.0590,0.2327,0.1737,no
PacketLossRatio,0.0590,0.2327,0.1737,no
MidMessageRate,0.0000,0.0000,0.0000,no
HnaMessageRate,0.0000,0.0000,0.0000,no
