config,n_kept,removed,tgt_acc_mean,tgt_acc_std,tgt_auc_mean,tgt_auc_std,delta_acc,delta_acc_std,p_acc,d_paired_acc,delta_auc,delta_auc_std,p_auc,d_paired_auc
DJ_minus2_Avg_only,31,"AverageEndToEndDelay, AverageJitter",0.8436863136863136,0.00402983666427107,0.8945721266745243,0.0026643325608025283,0.001289960039960042,0.002617788906627468,0.04007918759111053,0.49276702055473004,0.0009281224519736119,0.0017210114956369106,0.026156112438351024,0.5392889323090391
DJ_minus2_Flow_extremes,31,"FlowDelayStd, FlowJitterStd",0.8425449550449551,0.0038378012746243095,0.8893382799767664,0.0031639577646542967,0.00014860139860140565,0.0018378466764787352,0.7216408986875205,0.0808562544978572,-0.004305724245784159,0.0018336478102001467,2.3797485537230474e-09,-2.3481740723777156
DJ_minus4_Flow_only,29,"AvgFlowDelay, AvgFlowJitter, FlowDelayStd, FlowJitterStd",0.842455044955045,0.0035753918584732953,0.886969260135469,0.0038360066658862223,5.869130869130545e-05,0.0020567381795230256,0.8997927996417445,0.028536110855352743,-0.006674744087081741,0.002314074248457977,7.571597473956311e-11,-2.884412240242322
DJ_minus6_all,27,"AverageEndToEndDelay, AverageJitter, AvgFlowDelay, AvgFlowJitter, FlowDelayStd, FlowJitterStd",0.842022977022977,0.0039492340269333915,0.8859551609728932,0.0027889510866638137,-0.00037337662337662004,0.0024255430008645537,0.4995086852913424,-0.15393527273832489,-0.007688843249657434,0.0026897675954844383,8.834516839330185e-11,-2.858553007540654
LOO_AvgE2EDelay,32,AverageEndToEndDelay,0.8433066933066933,0.003839994781775844,0.8943921390797016,0.003280347078367365,0.0009103396603396596,0.0023741900455242822,0.10265475660474986,0.38343167264802225,0.0007481348571508617,0.0017101058669825031,0.06527188646211886,0.43747867988486133
LOO_AvgFlowDelay,32,AvgFlowDelay,0.8424650349650349,0.0041913192826020206,0.8931955835123917,0.0037007755310787087,6.868131868132954e-05,0.0025106242784821483,0.9039137454886953,0.02735627121508293,-0.0004484207101589588,0.0013180593269107037,0.14460878887075562,-0.3402128424749871
LOO_AvgFlowJit,32,AvgFlowJitter,0.8430144855144854,0.0035927421977098558,0.8909946914973139,0.003331289841120341,0.0006181318681318715,0.001670506513673494,0.11438835741332853,0.3700266135284806,-0.0026493127252367687,0.0010919753157368555,1.3920204176423774e-09,-2.4261653968332015
LOO_AvgJitter,32,AverageJitter,0.8423913586413587,0.003994970972670879,0.8939828019133713,0.0031177107680654204,-4.99500499500094e-06,0.0019369077021242017,0.9909184463207151,-0.0025788554557984,0.0003387976908206747,0.001191532027019664,0.21886194623176675,0.28433788025664497
LOO_FlowDelayStd,32,FlowDelayStd,0.8416933066933068,0.004287629498263982,0.8918136704703887,0.003449112207038741,-0.0007030469530469652,0.0022416136653483957,0.17686055613008625,-0.3136343090314344,-0.0018303337521619056,0.001643517074218574,8.30431746628467e-05,-1.113668839146168
LOO_FlowJitterStd,32,FlowJitterStd,0.8433803696303697,0.0034377645479096177,0.8928390352155338,0.003654257235725045,0.0009840159840159902,0.0015674667651917225,0.01123863475646784,0.6277747036605472,-0.0008049690070169424,0.0015975146467419714,0.036237671855112064,-0.5038883422187239
Random_minus6_seed1001,27,"AvgRxBytesPerFlow, AvgTxPacketSize, FlowLossRateStd, HnaMessageRate, MidMessageRate, RxTxPacketRatio",0.8426136363636363,0.0035803922913891675,0.893855402714169,0.0035589065725607676,0.00021728271728271853,0.0021507252581649395,0.6565215744030881,0.10102764937447677,0.0002113984916182865,0.0010443711808632427,0.37667650831623267,0.20241700986382208
Random_minus6_seed2002,27,"AvgFlowThroughput, AvgRxPacketsPerFlow, HnaMessageRate, MidMessageRate, RxTxPacketRatio, TcMessageRate",0.8423951048951048,0.0038282258131970507,0.8934230179161498,0.003391006796549875,-1.2487512487668884e-06,0.0018464009018434582,0.9976182700237347,-0.0006763164205130788,-0.00022098630640088324,0.0013377038030763697,0.4690640792801948,-0.16519823438691913
Random_minus6_seed3003,27,"AvgFlowLossRate, AvgRxBytesPerFlow, FlowCount, PacketLossRatio, RxTxPacketRatio, Throughput",0.8426885614385615,0.003757610028631267,0.8936071973730565,0.0034385188083685494,0.00029220779220781037,0.002048594757435904,0.5311540096772145,0.14263816264645152,-3.6806849494136486e-05,0.00107652726208455,0.8800862082950901,-0.03419035521949067
Random_minus6_seed4004,27,"AverageHopCount, AvgRxBytesPerFlow, AvgTxPacketSize, HnaMessageRate, RoutingOverheadRatio, TcMessageRate",0.8427235264735264,0.004547969227768564,0.8919125776820582,0.002416257690368728,0.00032717282717282246,0.00217689370730829,0.5095907646969815,0.1502934323685325,-0.0017314265404925033,0.002169188720975635,0.0020449849220079376,-0.7981908276352093
Standard_33,33,(none),0.8423963536463537,0.003676305771916113,0.8936440042225506,0.003572241865561868,,,,,,,,
Top6_dShift_nonDJ,27,"AvgFlowThroughput, AvgTxPacketsPerFlow, FlowCount, FlowThroughputStd, NormalizedRoutingLoad, TcMessageRate",0.8215759240759241,0.0042826765880705315,0.8881529831307553,0.002963380798130898,-0.020820429570429566,0.004774555081626397,5.035814793293258e-14,-4.360705702307517,-0.0054910210917953175,0.002680014210087977,2.1108986325337238e-08,-2.0488776033822087
Top6_dShift_nonDJ_nonU4,27,"AvgFlowThroughput, AvgRxPacketsPerFlow, AvgTxPacketsPerFlow, FlowCount, NormalizedRoutingLoad, TcMessageRate",0.8416283716283717,0.004590870277191555,0.892462708495301,0.0036644020533893188,-0.0007679820179820162,0.0023653849769311496,0.16281770409366797,-0.32467527504905186,-0.001181295727249798,0.0014713551651987374,0.0019500976656389147,-0.8028623918890714
