method,variant,recommended_K,max_acc_avg,rec_acc_SM,rec_acc_MS,rec_asymmetry
catboost_pvc,soft,2,0.8080246836496837,0.8200670163170164,0.795982350982351,0.024305278055278018
catboost_pvc,strict,9,0.8602033383283383,0.8619667832167832,0.8584398934398935,0.005505744255744196
perm_catboost,soft,2,0.8158920246420247,0.8200670163170164,0.795982350982351,0.024305278055278018
perm_catboost,strict,3,0.8101300782550783,0.8122756410256411,0.802588245088245,0.01174700299700295
perm_rf,soft,2,0.8158920246420247,0.8056206293706293,0.8175283050283051,0.012910006660006612
perm_rf,strict,12,0.8261736180486181,0.8098684648684649,0.8374879287379287,0.027619463869463814
perm_xgb,soft,1,0.8101300782550783,0.8122756410256411,0.802588245088245,0.01174700299700295
perm_xgb,strict,3,0.8101300782550783,0.8122756410256411,0.802588245088245,0.01174700299700295
rf_native,soft,6,0.8457969114219115,0.8442965367965368,0.8407042957042957,0.01276223776223772
rf_native,strict,8,0.8506035631035631,0.845653096903097,0.8437787212787212,0.011918498168498113
xgb_gain,soft,4,0.8224242424242425,0.8184478021978022,0.8168756243756244,0.015260156510156457
xgb_gain,strict,14,0.8335914085914087,0.8234686147186148,0.8437142024642025,0.02154012654012648
