subset,seed,in_static_acc,in_static_auc,in_mobile_acc,in_mobile_auc,SM_acc,SM_auc,MS_acc,MS_auc
U4,0,0.8635114885114885,0.9265744245764227,0.8988511488511488,0.9506959698643015,0.8679320679320679,0.8956289078054812,0.8587662337662337,0.9182484411193202
U4,1,0.8642607392607392,0.9319942045966023,0.897977022977023,0.9489880124870134,0.8619380619380619,0.8965035376711201,0.8562187812187813,0.9209007089314282
U4,2,0.8618881118881119,0.9299412500586328,0.8956043956043956,0.9464145681990338,0.8648601398601399,0.8975282709298693,0.8585164835164835,0.9195939899261578
U4,3,0.8648851148851149,0.9260232774218786,0.9012237762237763,0.9512626484404706,0.865034965034965,0.8926826769633963,0.8592407592407593,0.9196780379959701
U4,4,0.8728771228771228,0.9343281593531344,0.9007242757242757,0.9476141366126382,0.8612137862137862,0.891592812781624,0.8562437562437563,0.9191040952054939
U4,5,0.8677572427572428,0.9302927966139753,0.8947302697302697,0.9464875471681166,0.8634365634365634,0.8929324970733562,0.8581168831168832,0.918940784490235
U4,6,0.8621378621378621,0.9288209916956172,0.9028471528471529,0.9513952580885648,0.8592407592407593,0.8913796443316921,0.858941058941059,0.9199518663155027
U4,7,0.8636363636363636,0.9294642046265422,0.8966033966033966,0.947958510021447,0.8654095904095904,0.8959234259746248,0.8576173826173826,0.9208441171715398
U4,8,0.8733766233766234,0.9349779216787208,0.8963536463536463,0.945184997320362,0.8668581418581418,0.9001822503171155,0.8588661338661339,0.9199388860390358
U4,9,0.8655094905094906,0.9314503553389667,0.8882367632367633,0.9433370700228842,0.8678321678321679,0.8983708761268702,0.8583166833166833,0.9198988785939336
U4,10,0.869005994005994,0.927488532945576,0.8882367632367633,0.9428645156042759,0.8556693306693307,0.8900107197996808,0.8576923076923076,0.9188352094957989
U4,11,0.8613886113886113,0.9278219906966161,0.899975024975025,0.9488412124838197,0.8648851148851149,0.8968164752330587,0.8598901098901099,0.9200283333050567
U4,12,0.863011988011988,0.9275462923689697,0.8927322677322678,0.94599238174413,0.8604645354645355,0.8914076320782114,0.8581418581418582,0.9194089826257659
U4,13,0.8716283716283716,0.9308602236923915,0.8976023976023976,0.9480984799416369,0.8606643356643356,0.8937031774419386,0.8584665334665335,0.9197852858929283
U4,14,0.8670079920079921,0.930340576007409,0.8989760239760239,0.9482566010413164,0.8618631368631369,0.8920080730957355,0.8578921078921079,0.9179488468574382
U4,15,0.8706293706293706,0.9336571894638827,0.8954795204795205,0.9446258037666629,0.8504495504495504,0.8892739141477902,0.858941058941059,0.920167570940548
U4,16,0.863011988011988,0.9278521179120579,0.89498001998002,0.9465467100332235,0.8640609390609391,0.8934318166848138,0.8604895104895105,0.9188423951173701
U4,17,0.8661338661338661,0.9339746791669868,0.8957292707292708,0.9445133413040505,0.8559190809190809,0.8918709225340095,0.8587912087912087,0.9202639755349545
U4,18,0.8632617382617382,0.9274035155653539,0.888986013986014,0.9421429594381642,0.8638611388611389,0.8934649878093934,0.8591158841158841,0.9190619433014537
U4,19,0.8625124875124875,0.9313369572485457,0.891983016983017,0.9440004301392915,0.8644855144855145,0.8943193993818369,0.8567682317682318,0.9220538203055686
U3,0,0.8396603396603397,0.9118296788126958,0.8921078921078921,0.9439478478564394,0.8719030969030969,0.9255561321795088,0.8268981018981019,0.8927945593367671
U3,1,0.8394105894105894,0.9139246430392785,0.8908591408591409,0.941459639261837,0.8445054945054945,0.9258136406550492,0.8349150849150849,0.8945221449379791
U3,2,0.8426573426573427,0.9159633760345548,0.8888611388611388,0.9377886411790008,0.8735514485514485,0.9241944107341212,0.8341408591408591,0.8943525206062668
U3,3,0.8445304695304695,0.9131217496289925,0.8924825174825175,0.942320104969955,0.8621628371628371,0.9260693614577231,0.8347152847152847,0.8945684447919712
U3,4,0.8518981018981019,0.9192700094610684,0.8896103896103896,0.9392245803646901,0.8677072927072927,0.9254914815454276,0.8303446553446553,0.8951853827990192
U3,5,0.8445304695304695,0.9156359998642716,0.8834915084915085,0.937707179184452,0.8571178821178821,0.9252027418136309,0.8273976023976024,0.893305858726688
U3,6,0.8415334665334665,0.913486051910128,0.8918581418581418,0.941804511672144,0.8461538461538461,0.9238749462325886,0.8307942057942058,0.8942791661385568
U3,7,0.846028971028971,0.9137014022441096,0.8844905094905094,0.937917664253828,0.8676573426573426,0.9260219887505102,0.8349150849150849,0.8938312274638448
U3,8,0.8515234765234765,0.920783387441729,0.8864885114885115,0.9367700543712032,0.856018981018981,0.9256571874678767,0.8317932067932068,0.8950032173121583
U3,9,0.8422827172827173,0.9132095738926408,0.8778721278721279,0.9346719090100708,0.8655344655344656,0.9259867480172175,0.8350149850149851,0.8932245876002121
U3,10,0.8457792207792207,0.9112898839422318,0.8818681318681318,0.9342836234694376,0.8522227772227772,0.9264219309661368,0.8328671328671329,0.8924892352901843
U3,11,0.8416583416583416,0.9121578970480069,0.8883616383616384,0.9401944521512454,0.8581418581418582,0.924540110239411,0.8359390609390609,0.8943647049753444
U3,12,0.8396603396603397,0.9099955364316005,0.8852397602397603,0.9363633369627375,0.8636613386613387,0.9259451649748852,0.8340409590409591,0.8957133450964619
U3,13,0.846028971028971,0.9131098671558211,0.8927322677322678,0.94296434709147,0.8585664335664336,0.9248228956358326,0.8313186813186814,0.8905533876712699
U3,14,0.8481518481518482,0.9165012372742142,0.8866133866133866,0.9391753663419498,0.8586663336663337,0.9245863427282008,0.8311438561438561,0.8935299503194108
U3,15,0.8485264735264735,0.9179104486921669,0.8862387612387612,0.9361624264846045,0.8668581418581418,0.9266174085654604,0.8276473526473527,0.8929799371457713
U3,16,0.8434065934065934,0.9124305078038846,0.888986013986014,0.938044878448225,0.8555194805194806,0.9261487476060402,0.8335164835164836,0.8945562579278863
U3,17,0.8417832167832168,0.9190507918654771,0.8851148851148851,0.9346778346528597,0.867982017982018,0.9239244970813403,0.8263736263736263,0.8922813387910791
U3,18,0.842032967032967,0.9106540000958083,0.8836163836163836,0.9353197377048525,0.8637362637362638,0.9264989530948573,0.8315934065934066,0.890976916440203
U3,19,0.8435314685314685,0.916151406036521,0.8828671328671329,0.9345157215411961,0.8637362637362638,0.9240296080043832,0.8316933066933067,0.8967332979208604
