direction,seed,acc_src_K33,acc_src_K4,acc_orc_K33,acc_orc_K4,acc_orc_intest_K33,acc_orc_intest_K4,delta_total,delta_ranking,delta_threshold,t_src_K33,t_src_K4,t_orc_K33,t_orc_K4,acc_src_fulltarget_K33,acc_src_fulltarget_K4
M_to_S,42,0.8351648351648352,0.8526473526473527,0.8399100899100899,0.8512112887112887,0.8411588411588412,0.853021978021978,0.0174825174825175,0.011301198801198842,0.006181318681318659,0.4999999999999998,0.5099999999999998,0.3599999999999999,0.6399999999999997,0.8423326673326673,0.8575174825174825
M_to_S,43,0.8377872127872128,0.8595154845154845,0.843593906093906,0.8598901098901099,0.843906093906094,0.8600774225774226,0.021728271728271742,0.01629620379620389,0.005432067932067852,0.5599999999999997,0.5999999999999998,0.4099999999999998,0.5799999999999997,0.8373376623376624,0.8572927072927073
M_to_S,44,0.8367257742257742,0.861451048951049,0.8458416583416584,0.8606393606393606,0.8466533466533467,0.8615134865134865,0.02472527472527475,0.014797702297702275,0.009927572427572473,0.5899999999999997,0.5899999999999997,0.3899999999999999,0.6299999999999997,0.8366133866133866,0.85994005994006
M_to_S,45,0.8472152847152847,0.8624500499500499,0.8530844155844156,0.8629495504495505,0.8534590409590409,0.8629495504495505,0.01523476523476519,0.00986513486513485,0.0053696303696303405,0.5699999999999997,0.5899999999999997,0.4299999999999998,0.6099999999999998,0.845954045954046,0.8605394605394605
M_to_S,46,0.8445929070929071,0.8642607392607392,0.8481518481518482,0.8641983016983017,0.8493381618381618,0.8643231768231768,0.019667832167832078,0.01604645354645351,0.003621378621378568,0.5699999999999997,0.5399999999999998,0.4099999999999998,0.5599999999999997,0.8374125874125874,0.8602897102897102
M_to_S,47,0.8441558441558441,0.8598276723276723,0.8445304695304695,0.8615759240759241,0.8454045954045954,0.8615759240759241,0.015671828171828217,0.017045454545454586,-0.0013736263736263687,0.4199999999999998,0.5599999999999997,0.34999999999999987,0.6599999999999997,0.8453046953046953,0.8598901098901099
M_to_S,48,0.8439685314685315,0.8559565434565435,0.8434065934065934,0.8566433566433567,0.8441558441558441,0.8570804195804196,0.011988011988012026,0.01323676323676326,-0.0012487512487512342,0.45999999999999985,0.5599999999999997,0.4199999999999998,0.5799999999999997,0.8467282717282717,0.8596653346653347
M_to_S,49,0.8409090909090909,0.8561438561438561,0.8419080919080919,0.8582042957042957,0.8422827172827173,0.8582042957042957,0.01523476523476519,0.01629620379620378,-0.001061438561438588,0.43999999999999984,0.5199999999999998,0.3799999999999999,0.5799999999999997,0.8438811188811188,0.8575674325674326
M_to_S,50,0.8423451548451548,0.8563311688311688,0.8453421578421578,0.8586413586413586,0.8457792207792207,0.8586413586413586,0.013986013986013957,0.013299200799200772,0.0006868131868131844,0.5399999999999998,0.5399999999999998,0.3899999999999999,0.6199999999999998,0.8437812187812188,0.8578921078921079
M_to_S,51,0.8345404595404595,0.8613886113886113,0.8429070929070929,0.8613886113886113,0.8435314685314685,0.8619505494505495,0.026848151848151813,0.018481518481518466,0.008366633366633347,0.5799999999999997,0.5099999999999998,0.3599999999999999,0.5299999999999998,0.8335164835164836,0.8594655344655344
M_to_S,52,0.8431568431568431,0.8570179820179821,0.8471528471528471,0.8572052947052947,0.8472777222777222,0.8577047952047953,0.013861138861138933,0.010052447552447608,0.0038086913086913254,0.5199999999999998,0.5299999999999998,0.3699999999999999,0.5699999999999997,0.8448551448551449,0.8603396603396604
M_to_S,53,0.8402222777222778,0.8587037962037962,0.8410964035964036,0.8587037962037962,0.8424075924075924,0.8598276723276723,0.018481518481518466,0.017607392607392636,0.0008741258741258306,0.48999999999999977,0.5899999999999997,0.3999999999999998,0.5899999999999997,0.8412587412587412,0.8605644355644355
M_to_S,54,0.8460914085914086,0.8594530469530469,0.8508991008991009,0.8598901098901099,0.8513361638361638,0.8607017982017982,0.013361638361638284,0.00899100899100902,0.004370629370629264,0.5699999999999997,0.5499999999999998,0.45999999999999985,0.6399999999999997,0.845004995004995,0.8570929070929071
M_to_S,55,0.8412837162837162,0.8586413586413586,0.8438436563436563,0.8593281718281718,0.8438436563436563,0.8595154845154845,0.017357642357642367,0.01548451548451546,0.0018731268731269068,0.48999999999999977,0.5499999999999998,0.4199999999999998,0.6199999999999998,0.839985014985015,0.8556943056943057
M_to_S,56,0.8452172827172827,0.8589535464535465,0.845467032967033,0.8570179820179821,0.8469655344655345,0.8593906093906094,0.013736263736263798,0.01155094905094911,0.0021853146853146876,0.5299999999999998,0.5899999999999997,0.5199999999999998,0.6499999999999997,0.8474525474525475,0.8600649350649351
M_to_S,57,0.8407842157842158,0.8573301698301699,0.8456543456543456,0.8592032967032966,0.8459665334665335,0.8593906093906094,0.016545954045954048,0.013548951048951041,0.0029970029970030065,0.5299999999999998,0.5299999999999998,0.3799999999999999,0.5799999999999997,0.841008991008991,0.8596403596403597
M_to_S,58,0.8455294705294706,0.8555819180819181,0.8479020979020979,0.859015984015984,0.8482767232767233,0.859015984015984,0.010052447552447497,0.011113886113886084,-0.001061438561438588,0.5099999999999998,0.48999999999999977,0.4099999999999998,0.5799999999999997,0.8452797202797203,0.8592907092907093
M_to_S,59,0.8499000999000998,0.8603271728271729,0.8499625374625375,0.8610764235764236,0.850462037962038,0.8622627372627373,0.010427072927073011,0.011113886113886084,-0.0006868131868130734,0.4999999999999998,0.5799999999999997,0.44999999999999984,0.6699999999999997,0.8498251748251748,0.8589160839160839
M_to_S,60,0.8366633366633367,0.8531468531468531,0.8407217782217782,0.8532092907092907,0.8407217782217782,0.8545829170829171,0.016483516483516425,0.012487512487512564,0.003996003996003861,0.5199999999999998,0.6399999999999997,0.3899999999999999,0.6499999999999997,0.8412837162837162,0.857992007992008
M_to_S,61,0.8419705294705294,0.858016983016983,0.845467032967033,0.8605769230769231,0.8455919080919081,0.8608266733266733,0.01604645354645362,0.015109890109890167,0.0009365634365634534,0.5399999999999998,0.47999999999999976,0.3899999999999999,0.5699999999999997,0.8404845154845155,0.8573676323676324
