direction,K,regime,acc_mean,acc_std,ci_lo,ci_hi,n_seeds
S_to_M,33,source_thr,0.6716346153846154,0.017885729340409884,0.6632638363839763,0.6800053943852545,20
S_to_M,4,source_thr,0.8637737262737263,0.004589215608625612,0.8616259072547224,0.8659215452927301,20
S_to_M,33,oracle_calib,0.758838036963037,0.020828445363065266,0.7490900244697924,0.7685860494562815,20
S_to_M,4,oracle_calib,0.8648226773226773,0.004048038817943253,0.8629281368381327,0.8667172178072218,20
S_to_M,33,oracle_intest,0.758838036963037,0.020828445363065266,0.7490900244697924,0.7685860494562815,20
S_to_M,4,oracle_intest,0.8654782717282716,0.004037761725150123,0.8635885410712104,0.8673680023853328,20
M_to_S,33,source_thr,0.8419112137862138,0.004157781833913957,0.8399653119891911,0.8438571155832365,20
M_to_S,4,source_thr,0.8583572677322678,0.0029441269965491267,0.856979373883553,0.8597351615809826,20
M_to_S,33,oracle_calib,0.8453421578421579,0.0034533405991816354,0.8437259446914662,0.8469583709928497,20
M_to_S,4,oracle_calib,0.8590284715284715,0.003025457747805061,0.857612513716484,0.8604444293404591,20
M_to_S,33,oracle_intest,0.845925949050949,0.0034054931631981285,0.8443321291896078,0.8475197689122902,20
M_to_S,4,oracle_intest,0.8596278721278722,0.0026986959244035586,0.8583648435567046,0.8608909006990397,20
