direction,K,n_runs,n_windows,acc_thresh_mean,acc_thresh_std,acc_iso_mean,acc_iso_std,acc_source_thr_ref,acc_oracle_ref
S_to_M,33,25,100,0.7459551386113886,0.023166164990427774,,,0.6716346153846154,0.758838036963037
S_to_M,33,50,200,0.751163523976024,0.021718978992636154,,,0.6716346153846154,0.758838036963037
S_to_M,33,100,400,0.7554325362137863,0.021201909084589115,,,0.6716346153846154,0.758838036963037
S_to_M,33,250,1000,0.7576560939060939,0.021222713253941247,0.7789828921078921,0.010919126152922187,0.6716346153846154,0.758838036963037
S_to_M,33,500,2000,0.758414398101898,0.02097471932689909,0.7797379183316683,0.010739200903494726,0.6716346153846154,0.758838036963037
S_to_M,4,25,100,0.8565397102897103,0.004046810189780795,,,0.8637737262737263,0.8648226773226773
S_to_M,4,50,200,0.8602616133866133,0.0038318058947651324,,,0.8637737262737263,0.8648226773226773
S_to_M,4,100,400,0.862044517982018,0.0039542877198254405,,,0.8637737262737263,0.8648226773226773
S_to_M,4,250,1000,0.8635753309190809,0.004011616324361603,0.8635753309190809,0.003934242192368263,0.8637737262737263,0.8648226773226773
S_to_M,4,500,2000,0.8641469468031968,0.004209759568139446,0.8641339910089909,0.004156465665864648,0.8637737262737263,0.8648226773226773
M_to_S,33,25,100,0.8342393543956044,0.0038955329153932627,,,0.8419112137862138,0.8453421578421579
M_to_S,33,50,200,0.8382528409090909,0.003857693708261885,,,0.8419112137862138,0.8453421578421579
M_to_S,33,100,400,0.8417941433566434,0.003957094610765543,,,0.8419112137862138,0.8453421578421579
M_to_S,33,250,1000,0.8435473901098902,0.0035255818113687776,0.8434414023476524,0.0035205861087154876,0.8419112137862138,0.8453421578421579
M_to_S,33,500,2000,0.8440729582917085,0.0035119901969853508,0.8439602584915082,0.0034628968585248662,0.8419112137862138,0.8453421578421579
M_to_S,4,25,100,0.8475104582917083,0.004712917926505246,,,0.8583572677322678,0.8590284715284715
M_to_S,4,50,200,0.8521912462537463,0.0036359560873426267,,,0.8583572677322678,0.8590284715284715
M_to_S,4,100,400,0.8556167270229771,0.0032636065563027778,,,0.8583572677322678,0.8590284715284715
M_to_S,4,250,1000,0.8573751248751249,0.0029424508495568733,0.8572244942557443,0.0029480465162259406,0.8583572677322678,0.8590284715284715
M_to_S,4,500,2000,0.8579537649850149,0.0029885070927930715,0.8579312874625374,0.002989601214327961,0.8583572677322678,0.8590284715284715
